SN,MOVIE_NM,MNG_NM,MAKR_NM,IMPORT_CMPNY_NM,DISTB_CMPNY_NM,OPEN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,WNTY_SCREEN_CO,WNTY_SELNG_AM,WNTY_AUDE_CO,SU_SELNG_AM,SU_AUDE_CO,GENRE_NM,GRAD_NM,MOVIE_SE
131,특공황비2-무적의 적소검,,,,(유)조이앤시네마,20210511,개봉영화,장편,중국,9,9000,9,1000,1,액션,15세이상관람가,독립/예술영화
132,별장하녀들,패콘,주식회사 패콘,,(주)룬컴퍼니,20210521,개봉영화,장편,한국,6,10000,8,5000,3,성인물(에로),청소년관람불가,일반영화
133,최면,최재훈,(주)스마일이엔티,,(주)스마일이엔티,20210324,개봉영화,장편,한국,506,52000,8,0,0,공포(호러),15세이상관람가,독립/예술영화
134,무간귀도,,,아트비전,(주)액티버스엔터테인먼트,20210520,개봉영화,장편,중국,6,8000,7,3000,2,액션,15세이상관람가,독립/예술영화
135,"킬링,",츠카모토 신야,,(주)미디어캐슬,(주)미디어캐슬,20210407,개봉영화,장편,일본,4,53000,7,0,0,드라마,청소년관람불가,독립/예술영화
136,봉신전설,,,아트비전,(주)액티버스엔터테인먼트,20210506,개봉영화,장편,중국,6,7000,6,2000,1,액션,12세이상관람가,일반영화
137,예쁜장모,리차드 킴,(주)룬컴퍼니,,(주)액티버스엔터테인먼트,20210528,개봉영화,장편,한국,5,8000,6,5000,3,성인물(에로),청소년관람불가,일반영화
138,모텔 302호,윤준세,(주)영진크리에이티브,,(주)영진크리에이티브,20210528,개봉영화,장편,한국,5,25000,5,0,0,멜로/로맨스,청소년관람불가,일반영화
139,부기,에디 황,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20210421,개봉영화,장편,미국,13,48000,5,48000,5,드라마,15세이상관람가,일반영화
140,여의사 : 잘세움병원,최제승,(주)로드하우스,,노바엔터테인먼트,20210504,개봉영화,장편,한국,5,20000,5,2000,1,드라마,청소년관람불가,일반영화
141,바이올린 플레이어,파보 웨스터버그,,주식회사 더쿱,예지림엔터테인먼트,20210415,개봉영화,장편,기타,14,41500,4,41500,4,멜로/로맨스,15세이상관람가,독립/예술영화
142,출동! 시크릿 보틀 수호대,정연준,(주)청담러닝,,씨제이포디플렉스 주식회사,20210324,개봉영화,단편,한국,10,32500,4,32500,4,애니메이션,전체관람가,일반영화
143,어처구니없는,,,주식회사 블루필름웍스,주식회사 블루필름웍스,20210422,개봉영화,장편,기타,7,24000,3,0,0,미스터리,15세이상관람가,독립/예술영화
144,시 읽는 시간,이수정,생의 한가운데,,(주)마노엔터테인먼트,20210325,개봉영화,장편,한국,15,14000,2,10000,1,다큐멘터리,12세이상관람가,독립/예술영화
145,교환부부의 세계: 그들만의 은밀한 테크닉,안혜영,영화사 레드카펫,,마법사필름,20210520,개봉영화,장편,한국,1,1000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
146,그녀의 속사정:과거는 묻지마세요,하마노 사치,,,(주)영진크리에이티브,20210520,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
147,남의 아내를 탐하다 무삭제판,사노 B사쿠,,,(주)영진크리에이티브,20210506,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
148,남친 옆에서 정사,이치고 타로와,,,(주)영진크리에이티브,20210529,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
149,남편보다 힘쎈 택배기사,김환,(주)영화사가을,,(주)영화사가을,20210510,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
150,내 동생의 여자,버드맨 텟페이,,,(주)영진크리에이티브,20210521,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
151,달콤한 스캔들,이로운,(주)영화사히트,,(주)영화사히트,20210519,개봉영화,장편,한국,1,1000,1,0,0,드라마,청소년관람불가,일반영화
152,동창회에 가는 목적,조태호,(주)영화사가을,,(주)영화사가을,20210511,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
153,두 아내 : 아찔한 동거,최찬호,(주)영화사가을,,(주)영화사가을,20210508,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
154,맛보는 딸의 남편,코지마 유키오,,,(주)도키엔터테인먼트,20210526,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
155,맨살의 청춘,정지승,(주)코빈커뮤니케이션즈,,(주)코빈커뮤니케이션즈,20210520,개봉영화,장편,한국,1,1000,1,0,0,성인물(에로),청소년관람불가,일반영화
156,며느리 꼬시기 : 돈의 맛 무삭제,신우찬,(주)영화사가을,,(주)영화사가을,20210502,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
157,몰래 야동 찍는 아내,토미죠 타로,,,(주)영진크리에이티브,20210521,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
158,몸으로 보은하는 여자,버드맨 텟페이,,,(주)영진크리에이티브,20210514,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
159,물 많은 후배 아내,버드맨 텟페이,,,(주)영진크리에이티브,20210521,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
160,물오른 사모님의 속살,하라다 칸토나,,,(주)영진크리에이티브,20210515,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
161,물오른 형수들의 속궁합,밤비노 푸린,,,(주)영진크리에이티브,20210515,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
162,미용실 : 특별한 서비스 5 무삭제,조태호,(주)영화사가을,,(주)영화사가을,20210516,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
163,민감한 새엄마 미나코,히이라기 엔부,,,(주)영진크리에이티브,20210507,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
164,바꿔서 할까?,최성은,(주)영화사히트,,(주)영화사히트,20210519,개봉영화,장편,한국,1,1000,1,0,0,드라마,청소년관람불가,일반영화
165,발정난 그녀의 속사정,비바 곤조,,,(주)영진크리에이티브,20210529,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
166,발정난 새엄마의 유혹,진구지 차우차우,,,(주)영진크리에이티브,20210507,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
167,발정난 여자들:외간남자의 손맛,비바 곤조,,,(주)영진크리에이티브,20210515,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
168,밝히는 여자들:참을 수 없어,카부토가니,,,(주)영진크리에이티브,20210529,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
169,브레이브 언더 파이어: 디 오리지널,,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,20210505,개봉영화,장편,러시아,1,5000,1,0,0,액션,12세이상관람가,일반영화
170,비밀정사,최성은,(주)영화사히트,,(주)영화사히트,20210517,개봉영화,장편,한국,1,1000,1,0,0,드라마,청소년관람불가,일반영화
171,사일런스 앤드 다크니스,바락 바칸,,,(주)영화사 안다미로,20210524,개봉영화,장편,미국,1,1000,1,0,0,공포(호러),15세이상관람가,일반영화
172,새엄마의 무릎 사이,,,주식회사 미콘,주식회사 미콘,20210520,개봉영화,장편,일본,1,1000,1,1000,1,드라마,청소년관람불가,일반영화
173,성교육 주식회사,아마엔보 쇼군,,,(주)영진크리에이티브,20210521,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
174,세자매의 섹스파트너,안혜영,영화사 레드카펫,,마법사필름,20210513,개봉영화,장편,한국,1,1000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
175,섹스노트 : 매일하는 여자,,,,(주)온비즈넷,20210507,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
176,소녀탈출,에로핑,핑크하우스TV,,엔트리커뮤니케이션즈,20210522,개봉영화,장편,한국,1,1000,1,0,0,드라마,청소년관람불가,일반영화
177,수상한마사지샵,천성준,에이원 미디어,,에이원 미디어,20210521,개봉영화,장편,한국,1,7000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
178,스파이: 타임 투 저스티스,데이브 맥 3세,,,(주)영화사 안다미로,20210524,개봉영화,장편,미국,1,1000,1,0,0,액션,15세이상관람가,일반영화
179,승진섹스,김종석,모히또필름,,(주)컨텐츠 빌리지,20210528,개봉영화,장편,한국,1,1000,1,1000,1,멜로/로맨스,청소년관람불가,일반영화
180,아슬아슬 티팬티녀,비바 곤조,,,(주)영진크리에이티브,20210529,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
181,야한섹스:두가지 맛,하마노 사치,,,(주)영진크리에이티브,20210520,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
182,억남,오오토모 케이시,,(주)미디어캐슬,(주)미디어캐슬,20210421,개봉영화,장편,일본,4,8000,1,0,0,드라마,15세이상관람가,독립/예술영화
183,여자 동창 : 우리 지금 할까? 무삭제,한대위,(주)영화사가을,,(주)영화사가을,20210506,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
184,여자 하숙집 4 무삭제,구재은,(주)영화사가을,,(주)영화사가을,20210513,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
185,연애 : 엄마친구 3 무삭제,최찬호,(주)영화사가을,,(주)영화사가을,20210529,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
186,옆집 누나 : 한번 줄까? 무삭제,한대위,(주)영화사가을,,(주)영화사가을,20210501,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
187,예쁜식모2 : 가정부인,리차드 킴,(주)룬컴퍼니,,(주)룬컴퍼니,20210507,개봉영화,장편,한국,1,2000,1,2000,1,성인물(에로),청소년관람불가,일반영화
188,위험한 생방송,에로핑,핑크하우스TV,,엔트리커뮤니케이션즈,20210522,개봉영화,장편,한국,1,1000,1,0,0,드라마,청소년관람불가,일반영화
189,유부녀 훔쳐보는 남자들,밤비노 푸린,,,(주)영진크리에이티브,20210507,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
190,육덕 테라피스트의 사정 서비스,,,,(주)빅콘미디어,20210504,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
191,은밀한 스캔들,최성은,(주)영화사히트,,(주)영화사히트,20210517,개봉영화,장편,한국,1,1000,1,0,0,드라마,청소년관람불가,일반영화
192,음란한 그녀의 남자꼬시기,카부토가니,,,(주)영진크리에이티브,20210514,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
193,음란한 아내의 비밀스런 욕망,사노 B사쿠,,,(주)영진크리에이티브,20210514,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
194,음란한 여직원과의 사내섹스,타나카 스나오,,,(주)영진크리에이티브,20210506,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
195,음탕한 유부녀들의 유혹,비바 곤조,,,(주)영진크리에이티브,20210507,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
196,잘 느끼는 장모님,버드맨 텟페이,,,(주)영진크리에이티브,20210506,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
197,잘세우는 여친,최성은,(주)영화사히트,,(주)영화사히트,20210519,개봉영화,장편,한국,1,1000,1,0,0,드라마,청소년관람불가,일반영화
198,젊은 장모님과 은밀한 섹스,버드맨 텟페이,,,(주)영진크리에이티브,20210514,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
199,조개의 맛,조태호,(주)영화사가을,,(주)영화사가을,20210504,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
200,착한 숙모 : 삼촌이 출장 간 날 무삭제,이대길,뷰소프트,,뷰소프트,20210512,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
201,처제의 순결 무삭제,한대위,(주)영화사가을,,(주)영화사가을,20210501,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
202,친구 여동생 무삭제판,판,(주)영진크리에이티브,,(주)영진크리에이티브,20210506,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
203,친구엄마 2021 무삭제,신우찬,(주)영화사가을,,(주)영화사가을,20210508,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
204,친구엄마의 욕구불만 무삭제,이대길,뷰소프트,,뷰소프트,20210512,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
205,커플교환섹스 무삭제,한대위,(주)영화사가을,,(주)영화사가을,20210527,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
206,코스프레 그녀들의 순종적 섹스,,,,(주)빅콘미디어,20210504,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
207,펜트하우스 쇼걸,에로핑,핑크하우스TV,,엔트리커뮤니케이션즈,20210522,개봉영화,장편,한국,1,1000,1,0,0,드라마,청소년관람불가,일반영화
208,하녀(하는여자),이상영,블루커뮤니케이션,,블루커뮤니케이션,20210520,개봉영화,장편,한국,1,1000,1,0,0,성인물(에로),청소년관람불가,일반영화
209,하숙집 : 그녀들의 신음소리 2 무삭제,김춘수,(주)영화사가을,,(주)영화사가을,20210523,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
210,하얀방 : 열 개의 비밀,여진,주식회사 게티스버그컴퍼니,,주식회사 게티스버그컴퍼니,20210512,개봉영화,장편,한국,1,2000,1,2000,1,성인물(에로),청소년관람불가,일반영화
211,형수:잔뜩 쌓인 그 날,버드맨 텟페이,,,(주)영진크리에이티브,20210515,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
212,환상의 스킬로 만져주는 마사지녀 2,핫시이,,,(주)빅콘미디어,20210504,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
213,24살윤율의섹시한젖가슴-무삭제,판,스마일컨텐츠,,스마일컨텐츠,20210505,개봉영화,장편,한국,1,1000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
214,SNS 헌팅으로 만난 음란 유학생,아라시야마 미치루,,,(주)빅콘미디어,20210504,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
