SN,MOVIE_NM,MNG_NM,MAKR_NM,IMPORT_CMPNY_NM,DISTB_CMPNY_NM,OPEN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,WNTY_SCREEN_CO,WNTY_SELNG_AM,WNTY_AUDE_CO,SU_SELNG_AM,SU_AUDE_CO,GENRE_NM,GRAD_NM,MOVIE_SE
34,미스,,,(주)월드시네마,"예지림엔터테인먼트,주식회사 더쿱",20210512,개봉영화,장편,프랑스,105,35850730,4362,14880240,1840,코미디,15세이상관람가,독립/예술영화
35,어른들은 몰라요,이환,(주)돈키호테엔터테인먼트,,(주)리틀빅픽쳐스,20210415,개봉영화,장편,한국,209,40970450,4033,13766120,1351,드라마,청소년관람불가,독립/예술영화
36,범털 2: 쩐의 전쟁,강태호,(주)피터팬픽쳐스,,(주)피터팬픽쳐스,20210513,개봉영화,장편,한국,30,20614890,3783,10461850,2269,범죄,15세이상관람가,일반영화
37,"2021 스웨그 에이지 : 외쳐, 조선!","우진하,곽기영",(주)피엘종합기획,,(주)위즈온센,20210513,개봉영화,장편,한국,34,32588600,3371,20904200,2107,뮤지컬,12세이상관람가,일반영화
38,비커밍 아스트리드,퍼닐 피셔 크리스텐센,,알토미디어(주),알토미디어(주),20210512,개봉영화,장편,기타,70,28638470,3259,14319710,1523,드라마,15세이상관람가,독립/예술영화
39,꼬마 마법사 레미 : 견습 마법사를 찾아서,"사토 준이치,카마타니 하루카",,(주)얼리버드픽쳐스,(주)얼리버드픽쳐스,20210519,개봉영화,장편,일본,65,35949300,3190,13873300,1201,애니메이션,12세이상관람가,일반영화
40,고질라 VS. 콩,아담 윈가드,,워너브러더스 코리아(주),워너브러더스 코리아(주),20210325,개봉영화,장편,미국,1295,31009410,3172,13598690,1269,액션,12세이상관람가,일반영화
41,쇼크 웨이브 2,구예도,,(주)누리픽쳐스,(주)누리픽쳐스,20210520,개봉영화,장편,중국,61,16959300,3130,8898900,1642,액션,15세이상관람가,일반영화
42,적호서생,,,찬란,찬란,20210429,개봉영화,장편,중국,23,21577420,3062,12837090,1829,액션,12세이상관람가,독립/예술영화
43,"쿠오바디스,아이다",야스밀라 즈바니치,,M&M 인터내셔널,M&M 인터내셔널,20210519,개봉영화,장편,기타,44,24908940,2953,16351640,1820,드라마,15세이상관람가,독립/예술영화
44,인트로덕션,홍상수,(주)영화제작전원사,,"(주)영화제작전원사 ,(주)콘텐츠판다",20210527,개봉영화,장편,한국,91,23818690,2651,16819010,1837,기타,12세이상관람가,독립/예술영화
45,쿠사마 야요이: 무한의 세계,,,오드,오드,20210519,개봉영화,장편,미국,38,19863670,2425,14509170,1680,다큐멘터리,전체관람가,독립/예술영화
46,신비아파트 뮤지컬 시즌3 : 뱀파이어왕의 비밀,김종해,(주)씨제이이엔엠,,(주)씨제이이엔엠,20210522,개봉영화,장편,한국,55,34841000,2325,6208000,414,공연,전체관람가,일반영화
47,듄: 드리프터,,,(주)스토리제이,(주)스토리제이,20210428,개봉영화,장편,영국,28,11175000,2178,5701000,1123,SF,12세이상관람가,일반영화
48,노바디,일리야 나이슐러,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20210407,개봉영화,장편,미국,505,16849040,2161,10658870,1510,액션,15세이상관람가,일반영화
49,크라이시스,니콜라스 자렉키,,(주)누리픽쳐스,(주)누리픽쳐스,20210520,개봉영화,장편,독일,50,10232500,2000,5682500,1090,드라마,15세이상관람가,일반영화
50,배드 헤어,저스틴 시미엔,,그린나래미디어(주),(주)디스테이션,20210505,개봉영화,장편,미국,30,13857140,1869,7267810,1010,공포(호러),15세이상관람가,독립/예술영화
51,키퍼스,,,(주)영화사 사계절,(주)이놀미디어,20210512,개봉영화,장편,영국,97,16431340,1784,5434750,584,미스터리,15세이상관람가,독립/예술영화
52,파이터,윤재호,영화사 해그림 주식회사,,㈜인디스토리,20210318,개봉영화,장편,한국,74,8754000,1748,8754000,1748,드라마,12세이상관람가,독립/예술영화
53,더 박스,양정웅,(주)영화사테이크,,(주)씨네필운,20210324,개봉영화,장편,한국,372,10264940,1710,6134970,1021,드라마,12세이상관람가,독립/예술영화
54,레 미제라블,,,(주)영화사 진진,(주)영화사 진진,20210415,개봉영화,장편,프랑스,97,13851850,1676,10337850,1174,드라마,15세이상관람가,독립/예술영화
55,유다 그리고 블랙 메시아,,,워너브러더스 코리아(주),워너브러더스 코리아(주),20210422,개봉영화,장편,미국,154,13977040,1659,8307740,934,드라마,15세이상관람가,일반영화
56,라야와 마지막 드래곤,"돈 홀,카를로스 로페즈 에스트라다",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20210304,개봉영화,장편,미국,1056,14033630,1532,3349080,378,애니메이션,전체관람가,일반영화
57,토토리! 우리 둘만의 여름,"실리에 살로몬센,아릴드 오스틴 아문센",,에이케이엔터테인먼트(주),(주)팝엔터테인먼트,20210519,개봉영화,장편,노르웨이,63,13599580,1450,9297420,967,어드벤처,전체관람가,독립/예술영화
58,파리의 별빛 아래,클로스 드렉셀,,판씨네마(주),판씨네마(주),20210505,개봉영화,장편,프랑스,34,12523350,1435,9178550,992,드라마,전체관람가,독립/예술영화
59,어쌔신 프리스트 벡맨,가브리엘 세블로프,,,라온아이(주),20210505,개봉영화,장편,미국,50,6961500,1366,3311500,636,액션,15세이상관람가,일반영화
60,베르나르다 알바,연태흠,(주)브이컴퍼니,,(주)트리플픽쳐스,20210428,개봉영화,장편,한국,25,26502000,1299,17875000,861,공연,15세이상관람가,일반영화
61,푸드 몬스터,,,(주)나우콘텐츠,(주)이놀미디어,20210519,개봉영화,장편,중국,62,9922860,1142,1637000,159,애니메이션,전체관람가,일반영화
62,소울,피트 닥터,"월트 디즈니 픽쳐스,픽사 애니메이션 스튜디오",월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20210120,개봉영화,장편,미국,2018,9718490,1071,6600670,658,애니메이션,전체관람가,일반영화
63,"조제, 호랑이 그리고 물고기들",타무라 코타로,,(주)에이원엔터테인먼트,(주)팝엔터테인먼트,20210331,개봉영화,장편,일본,399,8560200,939,8560200,939,애니메이션,12세이상관람가,독립/예술영화
64,미션 파서블,김형주,(주)노시스컴퍼니,,(주)메리크리스마스,20210217,개봉영화,장편,한국,930,4480000,896,4480000,896,코미디,15세이상관람가,일반영화
65,구독좋아요알림설정,유진 코틀리야렌코,,주식회사 왓챠,주식회사 왓챠,20210519,개봉영화,장편,미국,16,8376600,787,4718500,450,코미디,청소년관람불가,일반영화
66,아르코 라이브 뮤지컬 인사이드 윌리엄,,한국문화예술위원회,,(주)아이디어랩,20210526,개봉영화,장편,한국,14,13517500,751,8874000,493,공연,전체관람가,일반영화
67,나소흑전기: 첫만남편,,,(주)엔케이컨텐츠,(주)디스테이션,20210422,개봉영화,장편,중국,133,7426300,710,3594600,332,애니메이션,전체관람가,독립/예술영화
68,예르미타시 예술의 힘,,,,CGV ICECON,20210512,개봉영화,장편,이탈리아,21,11942500,664,5433500,302,다큐멘터리,전체관람가,일반영화
69,코드 기아스: 부활의 를르슈,타니구치 고로,,(주)얼리버드픽쳐스,(주)얼리버드픽쳐스,20210428,개봉영화,장편,일본,32,6756100,626,4196600,374,애니메이션,12세이상관람가,일반영화
